XDIP YDIP ZDIP RDIP
0.450195784 2.44616947 7.04249599 7.46881323
-4.17762574 3.82766004 4.22432719 7.06742375
-6.02676035 1.9998568 0.575153784 6.37589754
-6.2353287 -2.72011414 -3.71744311 7.75227246
-6.82574425 3.97674433 -2.10734737 8.17595212
3.52962401 -1.74648653 6.64569598 7.72487772
-7.00180121 4.41286309 -1.47163671 8.40620577
-2.039287098E-02 -5.09043267 5.41853758 7.43461297
-2.26109457 0.972135945 6.99059726 7.4112109
5.67017756 3.11031149 0.824863672 6.51961281
2.1360267 -0.328929606 5.75707059 6.1493631
-6.98660056 1.77786895 0.371269538 7.21881199
6.39438945 -3.65949184 -1.11111834 7.45081747
-4.38706793 1.78114851 -6.25487945 7.84489465
-0.299054791 -7.97903422 -0.46868179 7.99838005
6.08496059 -3.19836409 4.38059457 8.15143466
-4.91657592 -0.713947557 -6.50012519 8.18132431
-7.70910423 -2.62065992 1.55302753 8.289152
-6.79209321 1.88896398 -3.18164582 7.73457078
3.13327655 -6.01725084 -3.80702336 7.77934165
-4.91153053 4.40458077 -4.271319008E-02 6.5973698
-5.10602416 4.36017039 -1.83436749 6.96042187
-0.453836811 1.76767217 -6.08556366 6.35332337
-2.03175186 7.38810111 -0.393464813 7.67247471
4.42206514 2.61016692 5.63783994 7.62580295
-1.36450859 4.51927006 -0.75662119 4.78102094
-5.70791347 1.48899323 4.91292871 7.67686431
6.25553346 -1.04786401 -3.42675189 7.20918486
-1.55884888 -5.02180424 5.23507593 7.41987518
2.33859226 -8.02189575 1.15396503 8.43513251
2.0140797 -5.00671512 -2.05952697 5.77627602
-7.19573078 -1.10058933 2.4131139 7.66896062
6.41637246 4.43088547 1.88216321 8.021541
-6.20117421 -1.50625777 2.89600055 7.00786652
6.45294394 0.234758555 5.53809793 8.50682818
0.741114734 -5.65367994 -3.13829076 6.50862633
3.63687786 6.0195945 1.06392123 7.11296893
-7.04228597 -2.30349729 2.43849132 7.80039302
-7.173786243E-03 -2.8308828 -5.96863134 6.60594497
3.04805834 -6.52794833 3.25786463 7.90686101
5.2238472 -4.61005748 -4.16301979 8.11615323
5.65715473 2.57758239 3.90877863 7.34342434
-1.829440902E-03 -3.1043393 -6.64458618 7.33399286
4.53695969 -6.05041492 -2.5953749 7.99546714
4.77639175 7.34750149 -0.48198801 8.77678806
-8.01882063 2.41819762 -1.15542337 8.454831
3.59825937 -2.79135466 -6.92003379 8.28408106
-3.46387704 4.34398645 -2.74756298 6.19820658
4.57303724 6.58876455 1.87512122 8.23653856
-1.98924975 -0.599456968 7.03036614 7.3309284
-3.24888856 1.889922797E-02 7.53103142 8.20195516
-0.645531181 7.22957499 -2.60841045 7.71279911
-2.32240562 6.54065457 -2.74470774 7.46372231
-0.753610675 -5.90978306 -5.2186395 7.92007974
7.71130764 1.76785006 0.128620893 7.91240183
1.053718056E-02 0.694610493 8.30461485 8.33362001
-2.5026094 -7.02425911 1.30644951 7.57034215
5.16782402 -5.56867185 -0.925288923 7.65327844
5.79024603 1.6318566 1.05312179 6.10728832
0.890074588 -6.17508656 -3.40992226 7.10995756
-3.28521917 6.65516664 0.741696304 7.45882172
6.7511199 1.65875594 1.18002924 7.05135166
-3.97771901 5.58772776 -3.67403807 7.78097074
2.79842857 1.16632721 -6.35064138 7.03719885
-0.407242655 -2.84344564 -4.01679239 4.93818294
-2.57289953 4.1732939 5.6459179 7.47747169
-7.09440988 1.70052764 1.16296666 7.38748518
4.62476821 0.250282703 5.48572535 7.17943626
-2.76605104 3.2765582 -4.23071497 6.02377134
6.19241736 -3.6001636 0.669299305 7.19410678
-1.59138925 -2.27437512 7.02050072 7.5493531
-5.91929387 4.11374882 -0.97186444 7.273616
-5.20681125 -0.748258349 -3.445996 6.2885342
1.95438583 7.52281735 1.59031693 7.93356873
5.73702186 4.42582502 -2.85686163 7.78864593
6.53278549 2.52336752 -2.28725028 7.36723719
-1.96690722 1.657626963E-02 6.46097833 6.75375746
-3.81624375 0.566305121 6.21402411 7.3142678
-3.51071757 4.14424897 3.8343871 6.6484932
-5.72028372 1.91420338 0.335515471 6.04138983
-6.71500257 -2.45461015 -2.62324832 7.61562882
-7.01900887 3.57410796 -2.89669061 8.39235067
2.99097162 -0.709948236 6.7236303 7.39304688
-7.38037397 3.92442411 -1.41996921 8.47864005
-0.368592072 -6.00550312 4.82784287 7.71427214
-3.18865609 0.125995097 6.45019686 7.19641869
4.63149561 3.88382563 1.676544351E-02 6.04443002
1.23197901 2.239678671E-02 6.10334421 6.22648251
-7.03619747 2.69765015 1.82089571 7.75248685
6.77998514 -3.54654318 -0.804422673 7.69371581
-4.5356608 1.57574814 -5.98535975 7.673313
-1.19688351 -8.18930319 -1.21566633 8.36510977
5.11095709 -4.54306794 4.87233346 8.39648629
-5.19642672 -0.269776978 -6.22846164 8.11599438
-6.26836984 -2.72099154 0.465154181 6.84927908
-7.35797816 1.63359488 -2.6024623 7.97378736
1.88360945 -5.74648182 -4.66610649 7.63823197
-4.11072582 4.72647877 1.57089815 6.45797099
-3.891105 5.58253167 -2.40246854 7.21645432
-0.640893255 1.700463 -5.94227397 6.21393101
-1.58759431 7.56580668 1.68233105 7.91151845
1.55044583 2.7229128 5.46882798 6.30287362
-3.39116053 5.11415843 -0.229656337 6.14062931
-5.07916175 0.612571164 4.25312307 6.65298305
4.87445408 -1.29394152 -6.22328992 8.01023874
-0.868386735 -4.67231091 5.99713006 7.65180722
2.29276218 -7.51117228 2.00655763 8.10559936
1.50607829 -6.04020224 -1.04429637 6.31212087
-7.54190995 3.0229587E-02 0.526820346 7.56034782
4.99857963 0.763313715 5.1229503 7.19812933
-6.30157486 -3.11612374 3.17048607 7.71181268
4.73625914 -0.272746552 7.39004132 8.78175678
-0.866692069 -6.26487753 -3.33637132 7.15060971
2.1638879 5.94000279 2.38664646 6.75737562
