XDIP YDIP ZDIP RDIP
-0.866987299 1.7050379 6.79096864 7.05521625
-2.13439929 1.12926922 3.79170854 4.49532679
-4.93693417 3.51818484 -0.876338954 6.12526845
-5.66972062 -0.968199968 -0.9299278 5.8264834
-5.64449299 3.19371733 -2.25655593 6.86674422
2.59431495 -2.21100249 6.47123675 7.31408964
-7.76659747 2.32200971 -2.11288608 8.37711483
0.172510305 -6.32280597 3.18540477 7.08197986
-4.2934628 -0.236746988 5.0962536 6.66795867
4.97974309 3.35363421 0.597307278 6.03336388
3.16319548 -3.84101832 3.84223095 6.28664983
-6.63598348 2.56813098 1.72452085 7.32158082
5.7211469 -2.04461802 -2.09671742 6.42714623
-5.15500439 1.55512415 -4.78193578 7.20134648
-0.684296403 -5.97688832 -3.02136261 6.73201958
6.7269245 -0.655073968 -3.02902159 7.40645711
-6.3076805 -0.159593745 -4.04964306 7.49746039
-4.43026134 -4.16335894 4.3918741 7.49995542
-6.55560084 1.29410645 -2.2671588 7.05624708
2.3889555 -3.74630023 -5.78425078 7.293794
2.08464737 4.00566945 4.51327991 6.3844215
-4.43406121 6.61196631 -0.449565433 7.97377616
-1.87947061 -2.72391708 -5.54118397 6.4542121
1.45718347 7.09269404 2.63356548 7.70489192
1.36618668 4.45571714 5.56263881 7.25691614
-0.402864276 6.37800741 3.18430926 7.14010529
-6.65180243 0.744267753 4.27713671 7.94319259
-0.30975885 -0.308109582 -7.46681433 7.47958543
-4.55832513 -2.73981062 6.12793545 8.1139684
2.44325686 -6.83339629 1.94326109 7.51272737
3.15312344 -5.35926699 1.56164001 6.41113481
-5.30019363 5.2748881 0.173151098 7.47973784
5.70535463 -2.20547813 -0.1223488 6.11802047
-4.37537188 5.84859997 1.30498162 7.41976939
5.95972753 1.07948635 5.75179783 8.35265355
-3.65776298 -5.29049665 -2.9806009 7.08890447
1.77183919 5.23096684 3.67088581 6.6315783
-7.10198799 -0.657642914 2.01786993 7.41232262
-0.878749824 -5.65410684 -4.11981031 7.05081289
0.489454716 -6.56119929 3.46025013 7.43385721
3.15341295 -1.39514235 -6.66111349 7.50072452
4.89657362 4.69134292 3.20175308 7.49909023
2.59402843 -3.65501469 -5.26393868 6.91354947
3.71386562 3.72805241 -0.928657465 5.34355475
2.19468814 6.18225634 -2.2338205 6.93014455
-1.41975372 6.42768656 -3.94935777 7.67647588
0.512393348 -8.59748977 -1.20200426 8.69621708
-7.1776742 1.3415126 -4.25887216 8.45320384
-2.17842387 7.29451242 0.744291734 7.64914454
-5.25777532 0.183316796 -2.9621163 6.03754415
-1.63415961 -4.33873481 5.78385945 7.41270042
-0.107729927 5.85417546 -4.61209189 7.45348024
-1.60786094 5.29256098 -4.33338581 7.02670983
-4.00001756 -5.81541161 -4.30679996 8.26847499
6.87754425 -0.655511651 -2.0864324 7.21689065
0.287806378 1.04353606 6.95338137 7.03713809
-4.37527959 -5.46680301 2.80087832 7.54148036
5.30887939 -5.30620504 -2.59277319 7.94118915
6.79991292 8.088404412E-02 3.10266003 7.47474797
5.96581966 -2.97014371 -3.22191497 7.40226276
3.65813414 5.11157782 -2.88859782 6.91767089
